_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
1194,2804,134,Dogs Off-Leash Area,None,Off Leash Area,None,MERRILL BRIDGE ROAD PARK - Off Leash Area
1195,40478,134,Bike Trail,None,Bike Trail,None,MERRILL BRIDGE ROAD PARK TRAIL
1196,2837,137,Dogs Off-Leash Area,None,Off Leash Area,None,BAIRD PARK - Off Leash Area
1197,4852,137,Wading Pool,None,Wading Pool,None,BAIRD PARK - Wading Pool
1198,28063,137,Bowling Greens,None,Bowling Greens,None,WEST TORONTO LAWN BOWLING CLUB - Bowling Greens (  1)
1199,28064,137,Bowling Greens,None,Bowling Greens,None,WEST TORONTO LAWN BOWLING CLUB - Bowling Greens (  2)
1200,29277,137,Washroom Facility,None,Washroom Building,None,WEST TORONTO LAWN BOWLING CLUB
1201,29277,137,Clubhouse,None,Clubhouse,None,WEST TORONTO LAWN BOWLING CLUB
1202,29277,137,Fieldhouse,None,Fieldhouse,None,WEST TORONTO LAWN BOWLING CLUB
1203,33969,137,Playground,None,Playground Site,None,BAIRD PARK - Playground
1204,77474,137,Outdoor Table Tennis,None,Outdoor Table Tennis,None,BAIRD PARK - Outdoor Table Tennis
1205,79165,137,Drinking Fountain,None,Drinking Fountain Count,None,BAIRD PARK - Drinking Water Source
1206,2941,138,Outdoor Tennis Court,None,Outdoor Tennis Court,None,LYTTON PARK - Outdoor Tennis Court (  1)
1207,2942,138,Outdoor Tennis Court,None,Outdoor Tennis Court,None,LYTTON PARK - Outdoor Tennis Court (  2)
1208,2943,138,Outdoor Tennis Court,None,Outdoor Tennis Court,None,LYTTON PARK - Outdoor Tennis Court (  3)
1209,28060,138,Bowling Greens,None,Bowling Greens,None,NORTH TORONTO LAWN BOWLING CLUB - Bowling Greens (  1)
1210,28060,138,Croquet Field,sport,Croquet Field,None,NORTH TORONTO LAWN BOWLING CLUB - Bowling Greens (  1)
1211,28061,138,Croquet Field,sport,Croquet Field,None,NORTH TORONTO LAWN BOWLING CLUB - Bowling Greens (  2)
1212,28061,138,Bowling Greens,None,Bowling Greens,None,NORTH TORONTO LAWN BOWLING CLUB - Bowling Greens (  2)
1213,33793,138,Playground,None,Playground Site,None,LYTTON PARK - Playground
1214,42601,139,Outdoor Chess Table,None,Outdoor Chess Table,None,METROPOLITAN UNITED CHURCH GROUNDS - Outdoor Chess Table (  4)
1215,42602,139,Outdoor Chess Table,None,Outdoor Chess Table,None,METROPOLITAN UNITED CHURCH GROUNDS - Outdoor Chess Table (  3)
1216,42603,139,Outdoor Chess Table,None,Outdoor Chess Table,None,METROPOLITAN UNITED CHURCH GROUNDS - Outdoor Chess Table (  2)
1217,42604,139,Outdoor Chess Table,None,Outdoor Chess Table,None,METROPOLITAN UNITED CHURCH GROUNDS - Outdoor Chess Table (  1)
1218,2121,141,Drinking Fountain,None,Drinking Fountain Count,None,MILNER PARKETTE - Drinking Water Source
1219,34074,142,Playground,None,Playground Site,None,FOREST HILL ROAD PARK - Playground S
1220,80560,142,Playground,None,Playground Site,None,FOREST HILL ROAD PARK - Playground N
1221,2375,143,Dog Fountain,None,Dog Fountain Count,None,DAVID A. BALFOUR PARK - Drinking Water Source (  1)
1222,2375,143,Drinking Fountain,None,Drinking Fountain Count,None,DAVID A. BALFOUR PARK - Drinking Water Source (  1)
1223,21831,143,Bike Trail,None,Bike Trail,None,BELTLINE TRAIL ( 26)
1224,21833,143,Bike Trail,None,Bike Trail,None,BELTLINE TRAIL ( 28)
1225,21834,143,Bike Trail,None,Bike Trail,None,BELTLINE TRAIL ( 29)
1226,21836,143,Bike Trail,None,Bike Trail,None,BELTLINE TRAIL ( 30)
1227,21837,143,Bike Trail,None,Bike Trail,None,BELTLINE TRAIL ( 31)
1228,22177,143,Bike Trail,None,Bike Trail,None,DAVID A. BALFOUR PARK TRAIL (  1)
1229,22179,143,Bike Trail,None,Bike Trail,None,DAVID A. BALFOUR PARK TRAIL ( 11)
1230,22180,143,Bike Trail,None,Bike Trail,None,DAVID A. BALFOUR PARK TRAIL ( 12)
1231,22184,143,Bike Trail,None,Bike Trail,None,DAVID A. BALFOUR PARK TRAIL ( 16)
1232,22192,143,Bike Trail,None,Bike Trail,None,DAVID A. BALFOUR PARK TRAIL ( 23)
1233,22198,143,Bike Trail,None,Bike Trail,None,DAVID A. BALFOUR PARK TRAIL ( 29)
1234,22220,143,Bike Trail,None,Bike Trail,None,DAVID A. BALFOUR PARK TRAIL (  5)
1235,32570,143,Parking Lot,None,Outdoor Parking Lot,None,ROSEHILL YARD - Parking Lot
1236,33987,143,Playground,None,Playground Site,None,DAVID A. BALFOUR PARK - Playground
1237,97105,143,Drinking Fountain,None,Drinking Fountain Count,None,DAVID A. BALFOUR PARK - Drinking Water Source (  2)
1238,97106,143,Washroom Facility,None,Washroom Building,None,DAVID A. BALFOUR PARK - Washroom Building
1239,102245,143,Drinking Fountain,None,Drinking Fountain Count,None,DAVID A. BALFOUR PARK - Drinking Water Source (  3)
1240,3235,144,Outdoor Basketball Court,None,Basketball Court,None,FRANKEL - LAMBERT PARK - Basketball Court
1241,34077,144,Playground,None,Playground Site,None,FRANKEL - LAMBERT PARK - Playground
1242,78434,144,Outdoor Table Tennis,None,Outdoor Table Tennis,None,FRANKEL - LAMBERT PARK - Outdoor Table Tennis
1243,78636,144,Drinking Fountain,None,Drinking Fountain Count,None,FRANKEL - LAMBERT PARK - Drinking Water Source (  1)
1244,102185,144,Drinking Fountain,None,Drinking Fountain Count,None,FRANKEL - LAMBERT PARK - Drinking Water Source (  2)
1245,2803,145,Dogs Off-Leash Area,None,Off Leash Area,None,MONARCH PARK - Off Leash Area
1246,4017,145,Outdoor Pool,pool,Outdoor Pool Tank - B,B,MONARCH PARK - Outdoor Pool Tank
1247,4019,145,Wading Pool,None,Wading Pool,None,MONARCH PARK - Wading Pool
1248,5404,145,Washroom Facility,None,Washroom Building,None,MONARCH PARK OUTDOOR POOL BUILDING
1249,23628,145,Bike Trail,None,Bike Trail,None,MONARCH PARK TRAIL (  1)
1250,23629,145,Bike Trail,None,Bike Trail,None,MONARCH PARK TRAIL (  2)
1251,23630,145,Bike Trail,None,Bike Trail,None,MONARCH PARK TRAIL (  3)
1252,23631,145,Bike Trail,None,Bike Trail,None,MONARCH PARK TRAIL (  4)
1253,28329,145,Picnic Site,picnic,Picnic Site,None,MONARCH PARK - Picnic Site
1254,30457,145,Dressing Room,None,Change Room,None,MONARCH PARK OUTDOOR POOL BUILDING - Dressing Room - Male (  1)
1255,30458,145,Dressing Room,None,Change Room,None,MONARCH PARK OUTDOOR POOL BUILDING - Dressing Room - Male (  2)
1256,30459,145,Dressing Room,None,Change Room,None,MONARCH PARK OUTDOOR POOL BUILDING - Dressing Room - Female (  1)
1257,30460,145,Dressing Room,None,Change Room,None,MONARCH PARK OUTDOOR POOL BUILDING - Dressing Room - Female (  2)
1258,34196,145,Playground,None,Playground Site,None,MONARCH PARK - Playground
1259,43593,145,Outdoor Rink,ice,Outdoor Ice Pad,None,MONARCH PARK - Outdoor Ice Pad
1260,49822,145,Outdoor Table Tennis,None,Outdoor Table Tennis,None,MONARCH PARK - Outdoor Table Tennis
1261,77834,145,Bottle Filling Station,None,Water Bottle Filling Count,None,MONARCH PARK - Drinking Water Source (  1)
1262,78265,145,Drinking Fountain,None,Drinking Fountain Count,None,MONARCH PARK - Drinking Water Source (  2)
1263,102085,145,Bottle Filling Station,None,Water Bottle Filling Count,None,MONARCH PARK - Drinking Water Source (  3)
1264,102085,145,Bottle Filling Station,None,Water Bottle Filling Count,None,MONARCH PARK - Drinking Water Source (  3)
1265,102222,145,Drinking Fountain,None,Drinking Fountain Count,None,MONARCH PARK - Drinking Water Source (  4)
1266,102223,145,Drinking Fountain,None,Drinking Fountain Count,None,MONARCH PARK - Drinking Water Source (  5)
1267,102224,145,Dog Fountain,None,Dog Fountain Count,None,MONARCH PARK - Drinking Water Source (  6)
1268,102224,145,Drinking Fountain,None,Drinking Fountain Count,None,MONARCH PARK - Drinking Water Source (  6)
1269,2118,146,Drinking Fountain,None,Drinking Fountain Count,None,MONCUR PLAYGROUND - Drinking Water Source
1270,17862,146,Ball Diamond,sport,Baseball Diamond Field - C,C,MONCUR PLAYGROUND - Baseball Diamond Field
1271,29574,146,Fieldhouse,None,Fieldhouse,None,MONCUR PLAYGROUND - Fieldhouse (  1)
1272,29575,146,Fieldhouse,None,Fieldhouse,None,MONCUR PLAYGROUND - Fieldhouse (  2)
1273,34197,146,Playground,None,Playground Site,None,MONCUR PLAYGROUND - Playground
1274,40904,146,Ball Hockey Pad,None,Ball Hockey Pad,None,MONCUR PLAYGROUND - Ball Hockey
1275,75794,146,Gazebo,None,Gazebo,None,MONCUR PLAYGROUND - Shade Structure
1276,2441,147,Drinking Fountain,None,Drinking Fountain Count,None,CARLTON PARK - Drinking Water Source (  1)
1277,3461,147,Outdoor Basketball Court,None,Basketball Court,None,CARLTON PARK - Basketball Court
1278,4757,147,Wading Pool,None,Wading Pool,None,CARLTON PARK - Wading Pool
1279,29195,147,Firepit,None,Firepit,None,CARLTON PARK - Firepit
1280,43042,147,Playground,None,Playground Site,None,CARLTON PARK - Playground
1281,79176,147,Dog Fountain,None,Dog Fountain Count,None,CARLTON PARK - Drinking Water Source (  2)
1282,79176,147,Drinking Fountain,None,Drinking Fountain Count,None,CARLTON PARK - Drinking Water Source (  2)
1283,33907,148,Playground,None,Playground Site,None,SACKVILLE PLAYGROUND - Playground
1284,70842,148,Splash Pad,None,Splash/Spray Pad,None,SACKVILLE PLAYGROUND - Splash/Spray Pad
1285,78114,148,Drinking Fountain,None,Drinking Fountain Count,None,SACKVILLE PLAYGROUND - Drinking Water Source
1286,78114,148,Bottle Filling Station,None,Water Bottle Filling Count,None,SACKVILLE PLAYGROUND - Drinking Water Source
1287,4064,149,Wading Pool,None,Wading Pool,None,SHERWOOD PARK - Wading Pool
1288,17926,149,Ball Diamond,sport,Baseball Diamond Field - C,C,SHERWOOD PARK - Baseball Diamond Field
1289,18544,149,Dogs Off-Leash Area,None,Off Leash Area,None,SHERWOOD PARK - Off Leash Area
1290,28345,149,Picnic Site,picnic,Picnic Site,None,SHERWOOD PARK - Picnic Site (  2)
1291,32452,149,Parking Lot,None,Outdoor Parking Lot,None,SHERWOOD PARK - Parking Lot
1292,34181,149,Playground,None,Playground Site,None,SHERWOOD PARK - Playground
1293,46463,149,Picnic Shelter,picnic,Shelter,None,SHERWOOD PARK - Picnic Shelter
1294,49570,149,Picnic Site,picnic,Picnic Site,None,SHERWOOD PARK -  Picnic Site (  1)
1295,93642,149,Washroom Facility,None,Washroom Building,None,SHERWOOD PARK - Washroom Building
1296,102181,149,Drinking Fountain,None,Drinking Fountain Count,None,SHERWOOD PARK - Drinking Water Source (  1)
1297,102280,149,Dog Fountain,None,Dog Fountain Count,None,SHERWOOD PARK - Drinking Water Source (  2)
1298,2676,150,Drinking Fountain,None,Drinking Fountain Count,None,RANDY PADMORE PARK - Drinking Water Source
1299,5213,150,Wading Pool,None,Wading Pool,None,RANDY PADMORE PARK - Wading Pool
1300,34332,150,Playground,None,Playground Site,None,RANDY PADMORE PARK - Playground
1301,34527,151,Playground,None,Playground Site,None,JEAN SIBELIUS SQUARE - Playground
1302,49595,151,Picnic Site,picnic,Picnic Site,None,JEAN SIBELIUS SQUARE - Picnic Site
1303,79226,151,Washroom Facility,None,Washroom Building,None,JEAN SIBELIUS SQUARE - Fieldhouse
1304,79226,151,Fieldhouse,None,Fieldhouse,None,JEAN SIBELIUS SQUARE - Fieldhouse
1305,80209,151,Drinking Fountain,None,Drinking Fountain Count,None,JEAN SIBELIUS SQUARE - Drinking Water Source
1306,2216,155,Drinking Fountain,None,Drinking Fountain Count,None,JIMMIE SIMPSON PARK - Drinking Water Source (  1)
1307,3069,155,Ball Hockey Pad,None,Ball Hockey Pad,None,JIMMIE SIMPSON PARK - Ball Hockey
1308,3070,155,Outdoor Basketball Court,None,Basketball Court,None,JIMMIE SIMPSON PARK - Basketball Court
1309,3072,155,Outdoor Tennis Court,None,Outdoor Tennis Court,None,JIMMIE SIMPSON PARK - Outdoor Tennis Court (  1)
1310,3073,155,Outdoor Tennis Court,None,Outdoor Tennis Court,None,JIMMIE SIMPSON PARK - Outdoor Tennis Court (  2)
1311,4237,155,Wading Pool,None,Wading Pool,None,JIMMIE SIMPSON PARK - Wading Pool
1312,14287,155,Pickleball Court,None,None,None,JIMMIE SIMPSON PARK - Outdoor Artificial Ice Rink
1313,14287,155,Pickleball Court,None,None,None,JIMMIE SIMPSON PARK - Outdoor Artificial Ice Rink
1314,14287,155,Pickleball Court,None,None,None,JIMMIE SIMPSON PARK - Outdoor Artificial Ice Rink
1315,14287,155,Pickleball Court,None,None,None,JIMMIE SIMPSON PARK - Outdoor Artificial Ice Rink
1316,14287,155,Outdoor Dry Pad,ice,Outdoor Dry Pad - A,A,JIMMIE SIMPSON PARK - Outdoor Artificial Ice Rink
1317,17814,155,Ball Diamond,sport,Baseball Diamond Field - C,C,JIMMIE SIMPSON PARK - Baseball Diamond Field
1318,17815,155,Sport Field,sport,Soccer Field - C,C,JIMMIE SIMPSON PARK - Soccer Field
1319,28312,155,Picnic Site,picnic,Picnic Site,None,JIMMIE SIMPSON PARK - Picnic Site
1320,32368,155,Parking Lot,None,Outdoor Parking Lot,None,JIMMIE SIMPSON PARK - Parking Lot
1321,34535,155,Playground,None,Playground Site,None,JIMMIE SIMPSON PARK - Playground
1322,43591,155,Pickleball Court,None,None,None,JIMMIE SIMPSON PARK - Outdoor Ice Pad
1323,43591,155,Outdoor Rink,ice,Outdoor Ice Pad,None,JIMMIE SIMPSON PARK - Outdoor Ice Pad
1324,43591,155,Pickleball Court,None,None,None,JIMMIE SIMPSON PARK - Outdoor Ice Pad
1325,77814,155,Bottle Filling Station,None,Water Bottle Filling Count,None,JIMMIE SIMPSON PARK - Drinking Water Source (  2)
1326,132561,155,Bottle Filling Station,None,Water Bottle Filling Count,None,JIMMIE SIMPSON PARK - Drinking Water Source (  3)
1327,33847,156,Playground,None,Playground Site,None,SNIDER PARKETTE - Playground
1328,49827,156,Outdoor Table Tennis,None,Outdoor Table Tennis,None,SNIDER PARKETTE - Outdoor Table Tennis
1329,71183,156,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SNIDER PARKETTE - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  1)
1330,71202,156,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SNIDER PARKETTE - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  2)
1331,71203,156,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SNIDER PARKETTE - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  3)
1332,71204,156,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SNIDER PARKETTE - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  4)
1333,71205,156,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SNIDER PARKETTE - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  5)
1334,2438,157,Drinking Fountain,None,Drinking Fountain Count,None,CASSELS AVENUE PLAYGROUND - Drinking Water Source
1335,2832,157,Dogs Off-Leash Area,None,Off Leash Area,None,CASSELS AVENUE PLAYGROUND - Off Leash Area
1336,4749,157,Splash Pad,None,Splash/Spray Pad,None,CASSELS AVENUE PLAYGROUND - Splash/Spray Pad
1337,29321,157,Fieldhouse,None,Fieldhouse,None,CASSELS AVENUE PLAYGROUND - Fieldhouse
1338,34184,157,Playground,None,Playground Site,None,CASSELS AVENUE PLAYGROUND - Playground
1339,33849,158,Playground,None,Playground Site,None,SONYA'S PARK - Playground
1340,102108,158,Bottle Filling Station,None,Water Bottle Filling Count,None,SONYA'S PARK - Drinking Water Source
1341,29322,161,Fieldhouse,None,Fieldhouse,None,CAWTHRA PLAYGROUND - Fieldhouse
1342,34385,161,Playground,None,Playground Site,None,CAWTHRA PLAYGROUND - Playground
1343,102054,161,Bottle Filling Station,None,Water Bottle Filling Count,None,CAWTHRA PLAYGROUND - Drinking Water Source
1344,132743,161,Outdoor Table Tennis,None,Outdoor Table Tennis,None,CAWTHRA PLAYGROUND - Outdoor Table Tennis
1345,2433,163,Dog Fountain,None,Dog Fountain Count,None,BARBARA HALL PARK - Drinking Water Source (  1)
1346,2433,163,Drinking Fountain,None,Drinking Fountain Count,None,BARBARA HALL PARK - Drinking Water Source (  1)
1347,2829,163,Dogs Off-Leash Area,None,Off Leash Area,None,BARBARA HALL PARK - Off Leash Area
1348,4738,163,Playground,None,Playground Site,None,BARBARA HALL PARK - Playground
1349,43265,163,Splash Pad,None,Splash/Spray Pad,None,BARBARA HALL PARK - Playground - Splash/Spray Pad
1350,102271,163,Dog Fountain,None,Dog Fountain Count,None,BARBARA HALL PARK - Drinking Water Source (  2)
1351,3865,167,Pickleball Court,None,None,None,RAMSDEN PARK - Tennis Court Area (  2)
1352,3867,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  1)
1353,3868,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  2)
1354,3869,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  3)
1355,3870,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  4)
1356,3871,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  1)
1357,3872,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  1)
1358,3873,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  3)
1359,3874,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  2)
1360,3875,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  2)
1361,3876,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  3)
1362,3877,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  4)
1363,3878,167,Outdoor Tennis Court,None,Outdoor Tennis Court,None,RAMSDEN PARK - Outdoor Tennis Court (  4)
1364,14292,167,Pickleball Court,None,None,None,RAMSDEN PARK - Outdoor Artificial Ice Rink
1365,14292,167,Pickleball Court,None,None,None,RAMSDEN PARK - Outdoor Artificial Ice Rink
1366,14292,167,Pickleball Court,None,None,None,RAMSDEN PARK - Outdoor Artificial Ice Rink
1367,14292,167,Pickleball Court,None,None,None,RAMSDEN PARK - Outdoor Artificial Ice Rink
1368,14292,167,Pickleball Court,None,None,None,RAMSDEN PARK - Outdoor Artificial Ice Rink
1369,14292,167,Pickleball Court,None,None,None,RAMSDEN PARK - Outdoor Artificial Ice Rink
1370,14292,167,Pickleball Court,None,None,None,RAMSDEN PARK - Outdoor Artificial Ice Rink
1371,14293,167,Outdoor Rink,ice,Outdoor Ice Pad,None,RAMSDEN PARK - Outdoor Ice Pad (  1)
1372,17902,167,Ball Diamond,sport,Baseball Diamond Field - C,C,RAMSDEN PARK - Baseball Diamond Field
1373,23767,167,Bike Trail,None,Bike Trail,None,RAMSDEN PARK TRAIL (  1)
1374,23768,167,Bike Trail,None,Bike Trail,None,RAMSDEN PARK TRAIL (  2)
1375,28336,167,Picnic Site,picnic,Picnic Site,None,RAMSDEN PARK - Picnic Site
1376,28895,167,Washroom Facility,None,Washroom Building,None,RAMSDEN PARK A.I.R. BUILDING
1377,29606,167,Washroom Facility,None,Washroom Building,None,RAMSDEN PARK - Washroom Building
1378,29954,167,Dressing Room,None,Change Room,None,RAMSDEN PARK A.I.R. BUILDING - Dressing Room
1379,30607,167,Dressing Room,None,Change Room,None,RAMSDEN PARK A.I.R. BUILDING - Dressing Room - Unisex (  1)
1380,30608,167,Dressing Room,None,Change Room,None,RAMSDEN PARK A.I.R. BUILDING - Dressing Room - Unisex (  2)
1381,30609,167,Dressing Room,None,Change Room,None,RAMSDEN PARK A.I.R. BUILDING - Dressing Room - Unisex (  3)
1382,32427,167,Parking Lot,None,Outdoor Parking Lot,None,RAMSDEN PARK - Parking Lot
1383,34330,167,Playground,None,Playground Site,None,RAMSDEN PARK - Playground S
1384,43022,167,Playground,None,Playground Site,None,RAMSDEN PARK - Playground N
1385,43596,167,Outdoor Rink,ice,Outdoor Ice Pad,None,RAMSDEN PARK - Outdoor Ice Pad (  2)
1386,72622,167,Dogs Off-Leash Area,None,Off Leash Area,None,RAMSDEN PARK - Off Leash Area
1387,72623,167,Wading Pool,None,Wading Pool,None,RAMSDEN PARK - Wading Pool
1388,73203,167,Outdoor Basketball Court,None,Basketball Court,None,RAMSDEN PARK - Basketball Court (  1)
1389,73204,167,Outdoor Basketball Court,None,Basketball Court,None,RAMSDEN PARK - Basketball Court (  2)
1390,102068,167,Bottle Filling Station,None,Water Bottle Filling Count,None,RAMSDEN PARK - Drinking Water Source (  1)
1391,102068,167,Drinking Fountain,None,Drinking Fountain Count,None,RAMSDEN PARK - Drinking Water Source (  1)
1392,102070,167,Drinking Fountain,None,Drinking Fountain Count,None,RAMSDEN PARK - Drinking Water Source (  2)
1393,102070,167,Bottle Filling Station,None,Water Bottle Filling Count,None,RAMSDEN PARK - Drinking Water Source (  2)
1394,102071,167,Drinking Fountain,None,Drinking Fountain Count,None,RAMSDEN PARK - Drinking Water Source (  3)
1395,102071,167,Bottle Filling Station,None,Water Bottle Filling Count,None,RAMSDEN PARK - Drinking Water Source (  3)
1396,102072,167,Bottle Filling Station,None,Water Bottle Filling Count,None,RAMSDEN PARK - Drinking Water Source (  4)
1397,102074,167,Drinking Fountain,None,Drinking Fountain Count,None,RAMSDEN PARK - Drinking Water Source (  5)
1398,102074,167,Bottle Filling Station,None,Water Bottle Filling Count,None,RAMSDEN PARK - Drinking Water Source (  5)
1399,102209,167,Drinking Fountain,None,Drinking Fountain Count,None,RAMSDEN PARK - Drinking Water Source (  6)
1400,102209,167,Dog Fountain,None,Dog Fountain Count,None,RAMSDEN PARK - Drinking Water Source (  6)
1401,132745,167,Outdoor Table Tennis,None,Outdoor Table Tennis,None,RAMSDEN PARK - Outdoor Table Tennis (  1)
1402,132746,167,Outdoor Table Tennis,None,Outdoor Table Tennis,None,RAMSDEN PARK - Outdoor Table Tennis (  2)
1403,3995,168,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MOOREVALE PARK - Outdoor Tennis Court (  1)
1404,3996,168,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MOOREVALE PARK - Outdoor Tennis Court (  2)
1405,3997,168,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MOOREVALE PARK - Outdoor Tennis Court (  3)
1406,3998,168,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MOOREVALE PARK - Outdoor Tennis Court (  4)
1407,3999,168,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MOOREVALE PARK - Outdoor Tennis Court (  5)
1408,17863,168,Ball Diamond,sport,Baseball Diamond Field - C,C,MOOREVALE PARK - Baseball Diamond Field
1409,28058,168,Bowling Greens,None,Bowling Greens,None,MOOREVALE PARK LAWN BOWLING CLUB - Bowling Greens
1410,29576,168,Changeroom Facility,None,Changeroom Building,None,MOOREVALE PARK - Change Room Building
1411,30923,168,Washroom Facility,None,Washroom Building,None,MOOREVALE PARK LAWN BOWLING AND TENNIS CLUB
1412,80545,168,Playground,None,Playground Site,None,MOOREVALE PARK - Playground
1413,102050,168,Bottle Filling Station,None,Water Bottle Filling Count,None,MOOREVALE PARK - Drinking Water Source (  1)
1414,102187,168,Drinking Fountain,None,Drinking Fountain Count,None,MOOREVALE PARK - Drinking Water Source (  2)
1415,116984,168,Splash Pad,None,Splash/Spray Pad,None,MOOREVALE PARK - Splash/Spray Pad
1416,132741,168,Outdoor Table Tennis,None,Outdoor Table Tennis,None,MOOREVALE PARK - Outdoor Table Tennis
1417,4863,170,Wading Pool,None,Wading Pool,None,RAVINA GARDENS - Wading Pool
1418,18086,170,Ball Diamond,sport,Baseball Diamond Field - C,C,RAVINA GARDENS - Baseball Diamond Field (  1)
1419,18087,170,Ball Diamond,sport,Baseball Diamond Field - C,C,RAVINA GARDENS - Baseball Diamond Field (  2)
1420,29609,170,Fieldhouse,None,Fieldhouse,None,RAVINA GARDENS - Fieldhouse
1421,34334,170,Playground,None,Playground Site,None,RAVINA GARDENS - Playground
1422,49529,170,Parking Lot,None,Outdoor Parking Lot,None,RAVINA GARDENS - Parking Lot
1423,73762,170,Splash Pad,None,Splash/Spray Pad,None,RAVINA GARDENS - Splash/Spray Pad
1424,73802,170,Bottle Filling Station,None,Water Bottle Filling Count,None,RAVINA GARDENS - Drinking Water Source
1425,13023,171,Washroom Facility,None,Washroom Building,None,EARL BALES COMMUNITY CENTRE
1426,47978,171,Multipurpose Room,room,Room - C,C,EARL BALES COMMUNITY CENTRE - Multipurpose Room
1427,48200,171,Gallery,room,Gallery/Hall  - B,B,EARL BALES COMMUNITY CENTRE - Gallery/Hall
1428,71282,171,Gymnasium,gym,Gymnasium - B,B,EARL BALES COMMUNITY CENTRE - Gymnasium
1429,2609,172,Drinking Fountain,None,Drinking Fountain Count,None,SPENCER - COWAN PARKETTE - Drinking Water Source
1430,5079,172,Wading Pool,None,Wading Pool,None,SPENCER - COWAN PARKETTE - Wading Pool
1431,33851,172,Playground,None,Playground Site,None,SPENCER - COWAN PARKETTE - Playground
1432,5360,174,Wading Pool,None,Wading Pool,None,MORSE STREET PLAYGROUND - Wading Pool
1433,29581,174,Fieldhouse,None,Fieldhouse,None,MORSE STREET PLAYGROUND - Fieldhouse
1434,29581,174,Washroom Facility,None,Washroom Building,None,MORSE STREET PLAYGROUND - Fieldhouse
1435,34204,174,Playground,None,Playground Site,None,MORSE STREET PLAYGROUND - Playground
1436,76722,174,Outdoor Table Tennis,None,Outdoor Table Tennis,None,MORSE STREET PLAYGROUND - Outdoor Table Tennis
1437,93963,174,Splash Pad,None,Splash/Spray Pad,None,MORSE STREET PLAYGROUND - Splash/Spray Pad
1438,102067,174,Bottle Filling Station,None,Water Bottle Filling Count,None,MORSE STREET PLAYGROUND - Drinking Water Source
1439,34338,176,Playground,None,Playground Site,None,REDPATH AVENUE PARKETTE - Playground
1440,2735,177,Drinking Fountain,None,Drinking Fountain Count,None,MOSS PARK - Drinking Water Source (  1)
1441,2735,177,Dog Fountain,None,Dog Fountain Count,None,MOSS PARK - Drinking Water Source (  1)
1442,2736,177,Drinking Fountain,None,Drinking Fountain Count,None,MOSS PARK - Drinking Water Source (  2)
1443,3978,177,Outdoor Basketball Court,None,Basketball Court,None,MOSS PARK - Basketball Court (  1)
1444,3982,177,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MOSS PARK - Outdoor Tennis Court (  2)
1445,5356,177,Splash Pad,None,Splash/Spray Pad,None,MOSS PARK - Splash/Spray Pad
1446,17864,177,Ball Diamond,sport,Baseball Diamond Field - B,B,MOSS PARK - Baseball Diamond Field
1447,28366,177,Outdoor Basketball Court,None,Basketball Court,None,MOSS PARK - Basketball Court (  2)
1448,32410,177,Parking Lot,None,Outdoor Parking Lot,None,MOSS PARK - Parking Lot
1449,34205,177,Playground,None,Playground Site,None,MOSS PARK - Playground
1450,43677,177,Sportspad Area,None,Sportspad Area,None,MOSS PARK - Sportspad Area
1451,43724,177,Sport Field,sport,Soccer Field - C,C,MOSS PARK - Soccer Field
